filename,Site_Type,Site_Name,Site_Code,species_richness,Year,ACI_11k,ACI_24k,ADI,AEI,BI_11k,BI_24k,H,NDSI,NP_11k,NP_24k
AM_SD11_20200218_054000-2,Unrestored,Amjhar,AM_2,3,2020,113.3783359,300.8827064,2.302568,0.003045,0.938879167,0.776670434,0.969987462,0.119732576,22,56
AM_SD11_20200218_054000-2(1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56
AM_SD11_20200218_054000-3,Unrestored,Amjhar,AM_2,3,2020,113.367189,300.5653529,2.302584,0.000743,0.819220348,0.655669452,0.970825342,0.231409821,22,58
AM_SD11_20200218_054000-3(1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
AM_SD11_20200218_054000-4,Unrestored,Amjhar,AM_2,3,2020,113.1725196,302.4539996,2.302583,0.000977,0.953616974,0.765821763,0.971326011,0.178978103,23,59
AM_SD11_20200218_054000-5,Unrestored,Amjhar,AM_2,4,2020,113.6150655,300.9541186,2.302577,0.002102,0.978020132,0.813449432,0.970367184,0.03677714,21,54
AM_SD11_20200218_054000-6,Unrestored,Amjhar,AM_2,3,2020,113.741056,301.1253194,2.302477,0.007136,0.807114838,0.648194942,0.971037597,0.055661578,26,61
AM_SD11_20200218_070500-1,Unrestored,Amjhar,AM_2,2,2020,123.0469089,310.5311183,2.301884,0.02089,5.165651158,5.07414067,0.956435034,0.602481741,23,57
AM_SD11_20200218_070500-2,Unrestored,Amjhar,AM_2,3,2020,125.2466937,312.9364612,2.302423,0.010011,5.556587726,5.441989345,0.957327799,0.642891372,20,55
AM_SD11_20200218_070500-3,Unrestored,Amjhar,AM_2,4,2020,121.8439832,308.0763036,2.30072,0.033701,4.534093832,4.41735135,0.956002737,0.704956767,21,55
AM_SD11_20200218_070500-4,Unrestored,Amjhar,AM_2,3,2020,120.6964723,308.8603462,2.301825,0.021612,4.568534023,4.447809313,0.952759819,0.520533402,22,56
AM_SD11_20200218_070500-5,Unrestored,Amjhar,AM_2,3,2020,122.5490398,309.1611819,2.302425,0.009966,5.397053189,5.083056531,0.954949924,0.916216912,24,61
AM_SD11_20200218_070500-6,Unrestored,Amjhar,AM_2,3,2020,126.234405,313.3126905,2.302534,0.005645,5.669016462,5.237382904,0.956481714,0.884502875,22,54
AM_SD11_20200219_061500-1,Unrestored,Amjhar,AM_2,2,2020,114.3494167,300.9431663,2.302582,0.001325,1.597812378,1.491600352,0.976165273,0.444791329,22,55
AM_SD11_20200219_061500-2,Unrestored,Amjhar,AM_2,2,2020,112.7970813,300.0205469,2.302573,0.002636,1.526802302,1.407644222,0.974494782,0.444074705,23,58
AM_SD11_20200219_061500-3,Unrestored,Amjhar,AM_2,2,2020,112.7756072,298.4089504,2.302531,0.005751,2.996877982,2.70656717,0.975611522,0.608477952,24,58
AM_SD11_20200219_061500-4,Unrestored,Amjhar,AM_2,4,2020,112.3643415,298.5680408,2.302229,0.014904,4.198829988,4.053342758,0.972677036,0.607707058,17,55
AM_SD11_20200219_061500-5,Unrestored,Amjhar,AM_2,3,2020,113.24503,299.3128147,2.302562,0.003599,1.475498629,1.326965689,0.973835982,0.401937205,24,62
AM_SD11_20200219_061500-6,Unrestored,Amjhar,AM_2,4,2020,114.0123545,301.409238,2.302566,0.003344,1.459667068,1.327993729,0.972766831,0.426335238,23,60
AM_SD11_20200219_062500-1,Unrestored,Amjhar,AM_2,5,2020,115.3824149,302.1168444,2.302568,0.003188,2.117142294,1.902720212,0.979099237,0.455797633,25,61
AM_SD11_20200219_062500-2,Unrestored,Amjhar,AM_2,5,2020,114.6971497,303.3369935,2.298279,0.050733,2.555745366,2.374769717,0.973147555,-0.280436827,22,56
